price	title	description	link	image_link	id	availability	product_type
150 UAH	Шапка Флисовая Охотничья "Sherwood" (Wild Hunter)	Шапка ― флисовая в камуфляжной расцветке. Цвет ― ШЕВУД. Расцветка ШЕРВУД - это новый охотничий камуфляж для лесной и смешанной местности, сам рисунок и сочетание цветов создают эффект "тумана", "дыма", "запылённости" что зрительно размывает силуэт охотника на расстоянии. Состав ткани: Флис ― 100% полиэстер, плотность 330г\м. • На ощупь флис очень мягкий, нежный материал. • Этот материал прекрасно сохраняет тепло, одновременно с этим, он способен обеспечить вентиляцию в случае перегрева тела. • Флис очень прочен, отличается высокой износостойкостью. • Не впитывает влагу. Даже в случае намокания изделие из флиса будет сохранять тепло. • Эта ткань очень удобна в использовании. Одежда, пошитая из флиса, останется теплой и сухой. • Флис не приводит к возникновению аллергических реакций, поэтому изделия из него можно носить детям. ШАПКА ЯВЛЯЕТСЯ ЭЛЕМЕНТОМ СЕРИИ ОХОТНИЧЬЕЙ ОДЕЖДЫ "WILD HUNTER" В РАСЦВЕТКЕ "ШЕРВУД"! СЕРИЯ СОСТОИТ ИЗ 7 ЭЛЕМЕНТОВ:  Брюки охотничьи Футболка с принтом Толстовка охотничья Куртка утеплённая охотничья Плащ ВВЗ охотничий Шапка флисовая охотничья Бейсболка охотничья  Цвет или оттенок изделия на фотографии может незначительно отличаться от реального.  Более детальная информация в разделе "Часто задаваемые вопросы".  Размер -  стандартный ― 56-58 (подойдёт и на больший размер, ткань тянется)	https://armoline.com.ua/p904545323-shapka-flisovaya-ohotnichya.html	https://images.ua.prom.st/1620315615_shapka-flisovaya-ohotnichya.jpg	3909952001	in stock	Охота Рыбалка Туризм
345 UAH	Бейсболка Охотничья "Sherwood" (Wild Hunter)	Классическая камуфляжная бейсболка с контрастной вставкой! Цвет - SHERWOOD + BLACK. Ткань ― САРЖА Плотность ― 240 г/м²  Состав ― хлопок 100% ОСОБЕННОСТИ:  Стандартная глубина посадки. Размер регулируемый, застёжка на "велкро" липучке. На лицевой стороне - Welkro для патчей. На затылке - Welkro. По центру верхней части - Welkro 25мм х 25мм. Отличное качество!  ШАПКА ЯВЛЯЕТСЯ ЭЛЕМЕНТОМ СЕРИИ ОХОТНИЧЬЕЙ ОДЕЖДЫ "WILD HUNTER" В РАСЦВЕТКЕ "ШЕРВУД"! СЕРИЯ СОСТОИТ ИЗ 7 ЭЛЕМЕНТОВ:  Брюки охотничьи Футболка с принтом Толстовка охотничья Куртка утеплённая охотничья Плащ ВВЗ охотничий Шапка флисовая охотничья Бейсболка охотничья  Цвет или оттенок изделия на фотографии может незначительно отличаться от реального.  Более детальная информация в разделе "Часто задаваемые вопросы".	https://armoline.com.ua/p917036130-bejsbolka-ohotnichya-sherwood.html	https://images.ua.prom.st/1703895644_bejsbolka-ohotnichya-sherwood.jpg	2663769235	in stock	Охота Рыбалка Туризм
775 UAH	Плащ Охотничий Ввз "Sherwood" (Wild Hunter)	Плащ охотничий ВВЗ (Ветро Влаго Защитный) "SHERWOOD", в транспортном чехле. Расцветка - SHERWOOD (Шервуд) Расцветка ШЕРВУД - это новый охотничий камуфляж для лесной и смешанной местности, сам рисунок и сочетание цветов создают эффект "тумана", "дыма", "запылённости" что зрительно размывает силуэт охотника на расстоянии. Ткань: 100% полиэстер с водоотталкивающей пропиткой, плотность 130 г\м. Тонкая но прочная плащевая ткань, гладкая поверхность, полная водонепроницаемость. Размер: Только один ― БОЛЬШОЙ с учётом ношения поверх одежды ― Примерно 54-58 р-р. Длинна плаща ― 115 см  (при росте 180 см примерно середина голени) Плащ имеет широкий крой, позволяет одевать его поверх зимней одежды и рюкзака, капюшон "глубокий",, все швы с "подворотом" препятствуют попаданию влаги, карманы с накладкой, защищены от попадания влаги, молния с 2-мя замками, расстёгивается как сверху ― так и снизу, ширина низа плаща не стесняет движений при ходьбе. В сложенном состоянии помещается в набедренном кармане брюк. Незаменимая вещь для охоты, рыбалки и военнослужащих, не занимает много места, имеет малый вес. ПЛАЩ ЯВЛЯЮТСЯ ЭЛЕМЕНТОМ СЕРИИ ОХОТНИЧЬЕЙ ОДЕЖДЫ "WILD HUNTER" В РАСЦВЕТКЕ "ШЕРВУД"! СЕРИЯ СОСТОИТ ИЗ 7 ЭЛЕМЕНТОВ:  Брюки охотничьи Футболка с принтом Толстовка охотничья Куртка утеплённая охотничья Плащ ВВЗ охотничий Шапка флисовая охотничья Бейсболка охотничья  Цвет или оттенок изделия на фотографии может незначительно отличаться от реального.  Более детальная информация в разделе "Часто задаваемые вопросы".	https://armoline.com.ua/p894188394-plasch-ohotnichij-vvz.html	https://images.ua.prom.st/1599334177_plasch-ohotnichij-vvz.jpg	3969848756	in stock	Охота Рыбалка Туризм
260 UAH	Футболка "Wild Hunter" Black	Футболка охотничья мужская "WILD HUNTER". Цвет: Чёрный  Состав: 100% хлопок, плотность 165 г/м. Принт: качественная, устойчивая к стирке краска. На нижней кромке - фирменный логотип. ФУТБОЛКА ЯВЛЯЕТСЯ ЭЛЕМЕНТОМ СЕРИИ ОХОТНИЧЬЕЙ ОДЕЖДЫ "WILD HUNTER". СЕРИЯ СОСТОИТ ИЗ 7 ЭЛЕМЕНТОВ:  Брюки охотничьи Футболка с принтом Толстовка охотничья Куртка утеплённая охотничья Плащ ВВЗ охотничий Шапка флисовая охотничья Бейсболка охотничья  Цвет или оттенок изделия на фотографии может незначительно отличаться от реального.  Более детальная информация в разделе "Часто задаваемые вопросы". РАЗМЕРЫ В НАЛИЧИИ: S, M, L, XL, XXL.	https://armoline.com.ua/p895117508-futbolka-wild-hunter.html	https://images.ua.prom.st/1601153857_futbolka-wild-hunter.jpg	635018130	in stock	Охота Рыбалка Туризм
960 UAH	Брюки Охотничьи "Sherwood" (Wild Hunter)	Брюки камуфляжные охотничьи "SHERWOOD" (WILD HUNTER) Расцветка ШЕРВУД - это новый охотничий камуфляж для лесной и смешанной местности, сам рисунок и сочетание цветов создают эффект "тумана", "дыма", "запылённости" что зрительно размывает силуэт охотника на расстоянии. Ткань ― «САРЖА» (премиум класса) - прочная, мягкая, дышащая, не шуршит, тактильно - ни чем не отличается от натуральной! Важно что ткань (в отличии от синтетики) не боится высокой температуры, открытого огня, искр - что позволит посидеть возле костра не опасаясь испортить брюки. Плотность ― 245 г/м² Состав ― хлопок 35 %, полиэстер 65 % Особенности: Брюки имеют 10 карманов, прочные швы, клапаны карманов на велкро (липучках). Колени и задняя часть усилены дополнительным слоем ткани. В талию, с двух сторон, вшиты резиновые уплотнители для плотного прилегания. Ширинка - на молнии и пуговице (тип НАТО) Низ штанин можно плотно "стянуть" при помощи широкого манжета на  велкро (липучке). Ремень можно посмотреть здесь. БРЮКИ ЯВЛЯЮТСЯ ЭЛЕМЕНТОМ СЕРИИ ОХОТНИЧЬЕЙ ОДЕЖДЫ "WILD HUNTER" В РАСЦВЕТКЕ "ШЕРВУД"! СЕРИЯ СОСТОИТ ИЗ 7 ЭЛЕМЕНТОВ:  Брюки охотничьи Футболка с принтом Толстовка охотничья Куртка утеплённая охотничья Плащ ВВЗ охотничий Шапка флисовая охотничья Бейсболка охотничья  Цвет или оттенок изделия на фотографии может незначительно отличаться от реального.  Более детальная информация в разделе "Часто задаваемые вопросы". ТАБЛИЦА РАЗМЕРОВ: Размер А - измеряется от одного бокового шва до другого (половина окружности талии) Размер В - измеряется по внешнему шву, от верхнего края, до самого низа изделия  PS - Допустимая погрешность +/- 2см. ВНИМАНИЕ! МАКСИМАЛЬНЫЙ РАЗМЕР ХХХL + 10% К СТОИМОСТИ!!!	https://armoline.com.ua/p894901957-bryuki-ohotnichi-sherwood.html	https://images.ua.prom.st/1600916860_bryuki-ohotnichi-sherwood.jpg	76366055	in stock	Охота Рыбалка Туризм
2400 UAH	Куртка Охотничья Утеплённая "Sherwood" (Wild Hunter)	Куртка утеплённая (на цигейке) для охотников в расцветке "SHERWOOD". РЕКОМЕНДОВАНА НА СЕЗОН ВЕСНА-ОСЕНЬ, MAX КОМФОРТ ПРИ ТЕМПЕРАТУРЕ ОТ +10 ДО -5С Цвет ― "ШЕРВУД + ЧЁРНЫЙ". Расцветка ШЕРВУД - это новый охотничий камуфляж для лесной и смешанной местности, сам рисунок и сочетание цветов создают эффект "тумана", "дыма", "запылённости" что зрительно размывает силуэт охотника на расстоянии. Удобная не широкая конструкция, плотная внешняя ткань не прожигается искрами от костра, высокий "мохнатый" воротник, утеплённый капюшон, чёрные вставки зрительно сделают фигуру более атлетичной. ОСОБЕННОСТИ: Крой - прямой классический. Подкладка - "толстый мохнатый барашек", создаёт 200% комфорт и тепло. Застёжка - мощная пластиковая молния с двумя бегунками. Воротник - высокий, подшит - барашком. Манжеты - на широких липучках. Карманы 6шт - 2 курточных врезных на молнии, 2 накладных нагрудных, 2 врезных на плечах на молнии. На левом плече расположено "Велкро" с вышивкой (но это не мешает поверх крепить свой шеврон). Состав ткани: Внешняя ткань - "САРЖА" Плотность ― 245 г/м² Состав ― хлопок 35 %, полиэстер 65 %. Ткань премиум класса, достаточно прочная, приятная на ощупь, не боится костра, не шуршит. Подкладка основная ― Цигейка (он же барашек, офиц. название ШУ-ФЛИС) 100% полиэстер, плотность 330г\м. Ткань двуслойная, с высоким ворсом, отлично сохраняет тепло, очень комфортна в носке. Подкладка в рукавах - Синтетическая подкладочная ткань, 100% полиэстер. КУРТКА ЯВЛЯЕТСЯ ЭЛЕМЕНТОМ СЕРИИ ОХОТНИЧЬЕЙ ОДЕЖДЫ "WILD HUNTER" В РАСЦВЕТКЕ "ШЕРВУД"! СЕРИЯ СОСТОИТ ИЗ 7 ЭЛЕМЕНТОВ:  Брюки охотничьи Футболка с принтом Толстовка охотничья Куртка утеплённая охотничья Плащ ВВЗ охотничий Шапка флисовая охотничья Бейсболка охотничья   РАЗМЕРНАЯ СЕТКА   Размер EU Размер Обхват груди (см)   S 48 88-92   M 50 96-100   L 52-54 104-108   XL 56-58 112-116   XXL 60-62 120-124   XXXL 64-66 128-132    Цвет или оттенок изделия на фотографии может незначительно отличаться от реального.  Более детальная информация в разделе "Часто задаваемые вопросы".	https://armoline.com.ua/p902192113-kurtka-ohotnichya-uteplyonnaya.html	https://images.ua.prom.st/1615635310_kurtka-ohotnichya-uteplyonnaya.jpg	3386672516	in stock	Охота Рыбалка Туризм
1790 UAH	Костюм Маскировочный "Hunter" A-TACS Fg На Флисе	Костюм маскировочный ветро - влаго - защитный на флисовой подкладке (Осень - весна - зима). Максимально комфортный костюм в современном армейском стиле! Отличная ткань и профессиональный пошив. В ПРОИЗВОДСТВЕ КОСТЮМА ИСПОЛЬЗОВАНА ТКАНЬ ДЮСПО - НЕ ОТЛИЧИМА ОТ SOFTSHELL! РАСЦВЕТКА - "A-TACS FG" Костюм состоит из куртки с капюшоном и брюк. Куртка (Осень - весна):    Внешний слой куртки не пропускает влагу. Задняя часть удлинённая, прикрывает "низ спины". Застёгивается на молнию с внутренней защитной планкой. Высокий воротник "стойкой" защитит от ветра. На куртке 2 вертикальных и 2 стандартных кармана на молниях с влагозащитными клапанами. Манжеты рукавов регулируемые на широком велкро для плотного облегания. Капюшон глубокий, не съёмный, утеплённый. В нижней кромке утяжной шнур для более плотного прилегания и сохранения тепла. С внутренней стороны куртка имеет мягкий флисовый слой - 100% КОМФОРТА!  Брюки (Осень - ЗИМА - весна):  На брюках размещено 4 кармана, застёгиваются на велкро (липучку). Шлёвки под широкий "тактический" (5 см) ремень. В пояс вшита резинка для более плотного прилегания и сохранения тепла. Сзади на уровне колена вшита резинка для избежания парусения на ветру. Низ брюк стягивается при помощи велкро и плотно прилегает к берцу.  Ткань ― "Дюспо - Флис" Водоотталкивающая. Состав ― плотность 260 г/м², пэ.100% Ткань «Дюспо - Флис» ― это двуслойная ткань, с гладкой плащевой поверхностью и мягким ворсистым внутренним слоем (ТКАНЬ НЕ ОТЛИЧИМА ОТ SOFTSHELL). Внешний слой отводит влагу и за счёт гладкой структуры не "цепляет" на себя растительность, внутренний слой "с начёсом" хорошо сохраняет тепло, дарит уют и комфорт.  Прочная и гладкая лицевая сторона, благодаря которой срок эксплуатации изделия значительно дольше, чем у других представителей данной группы тканей; Минимальное механическое воздействие в процессе носки; Водоотталкивающая пропитка в структуре нитей, которая позволяет комфортно себя чувствовать при любых погодных условиях.  Цвет или оттенок изделия на фотографии может незначительно отличаться от реального.  Более детальная информация в разделе "Часто задаваемые вопросы".  РАЗМЕРНАЯ СЕТКА   Размер Объем груди (см) Объем талии (см) Рост 3-4 (см)  Рост 5-6 (см)    48-50 96-100 80-88 170-176 182-188   52-54 104-108 90-96   56-58 112-116 98-104   60-62 120-124 106-110	https://armoline.com.ua/p1071641014-kostyum-maskirovochnyj-hunter.html	https://images.ua.prom.st/2056324669_kostyum-maskirovochnyj-hunter.jpg	2879073190	in stock	Охота Рыбалка Туризм
495 UAH	Футболка Утеплённая с Рукавами Army "Black"	Футболка утеплённая ARMY с рукавами и начёсом. Футболка в современном крое, имеет отличный вид, может использоваться как полноценная одежда и как элемент нижнего белья.  Цвет: Чёрный. Принт: Устойчивая к стирке краска! Ткань: Турецкий ТРИКОТАЖ (с байковым начёсом) Состав: 65% хлопок, 30% полиэстер, 5% эластан, плотность 185 г/м. Особенностью футболки является - сложная конструкция гарантирующая плотное прилегание и комфорт, плоские швы, мягкий устойчивый к стирке начёс с внутренней стороны, длинна футболки немного увеличена. Цвет или оттенок изделия на фотографии может незначительно отличаться от реального.  Более детальная информация в разделе "Часто задаваемые вопросы".  РАЗМЕРНАЯ СЕТКА   Размер Объем груди (см)   S(44-46) 85-95   M(48-50) 95-105   L(52-54) 105-115   XL(56-58) 115-125   XXL(60-62) 125-135	https://armoline.com.ua/p1079238429-futbolka-uteplyonnaya-rukavami.html	https://images.ua.prom.st/2076071254_futbolka-uteplyonnaya-s.jpg	2441218074	in stock	Футболки Рубашки Polo
590 UAH	Футболка с Рукавами "Black Water"	ДОПОЛНИТЕЛЬНЫЕ ФОТОГРАФИИ В ОБРАБОТКЕ! Стильная милитари футболка  с рукавами и принтом логотипа легендарной ЧВК "Black Water". Blackwater — американское охранное предприятие (частная военная компания), основанное в 1997 году существовало до февраля 2009 года, затем было (расформировано) переименовано и действует по сей день под другим названием. Компания принимала участие практически во всех военных конфликтах в Африке, на Ближнем востоке, Афганистане. Футболка в нестандартном дизайне, сочетающая в себе - два вида тканей!  Основная ткань - спортивный - плотный трикотаж, эластичный (тянется), гладкий, матовый, тактильно очень приятный. Плотность - 220 г/м², Состав - 60% хлопок, 40% полиэстер (Турция) Рукава из футболочной ткани, лёгкой, полностью натуральной, практически не тянется. Плотность - 165 г/м², Состав - 100% хлопок. Принты выполнены краской - нанесены на груди, спине и вдоль левого рукава.  Футболка расчитана на непостоянную осенне-весеннюю температуру, когда в куртке ещё жарко, а в футболке уже холодно.  Футболка станет отличным подарком для ценителей милитари стиля! Цвет: Чёрный. В НАЛИЧИИ РАЗМЕРЫ: S, М, L, XL, XXL  РАЗМЕРНАЯ СЕТКА   Размер Объем груди (см)   S(44-46) 85-95   M(48-50) 95-105   L(52-54) 105-115   XL(56-58) 115-125   XXL(60-62) 125-135	https://armoline.com.ua/p974973365-futbolka-rukavami-black.html	https://images.ua.prom.st/2020869182_futbolka-s-rukavami.jpg	1803077204	in stock	Футболки Рубашки Polo
475 UAH	Футболка Утеплённая с Рукавами "Black"	Футболка утеплённая с рукавами и начёсом. Футболка в современном крое, имеет отличный вид, может использоваться как полноценная одежда и как элемент нижнего белья. Цвет: Чёрный. Ткань: Турецкий ТРИКОТАЖ (с байковым начёсом) Состав: 65% хлопок, 30% полиэстер, 5% эластан, плотность 185 г/м. Особенностью футболки является - сложная конструкция гарантирующая плотное прилегание и комфорт, плоские швы, мягкий устойчивый к стирке начёс с внутренней стороны, длинна футболки немного увеличена. Цвет или оттенок изделия на фотографии может незначительно отличаться от реального.  Более детальная информация в разделе "Часто задаваемые вопросы".  РАЗМЕРНАЯ СЕТКА   Размер Объем груди (см)   S(44-46) 85-95   M(48-50) 95-105   L(52-54) 105-115   XL(56-58) 115-125   XXL(60-62) 125-135	https://armoline.com.ua/p582444236-futbolka-uteplyonnaya-rukavami.html	https://images.ua.prom.st/2052312043_futbolka-uteplyonnaya-s.jpg	4268539037	in stock	Футболки Рубашки Polo
