price	title	description	link	image_link	id	availability	mpn	product_type
579 UAH	Кольцо Из Серебра с Натуральным Топазом "Джерси"	Металл:                                                                                                                                                                                                                                                                    серебро 925;                                                   средний вес, г:                                                                                                                                                                                                  1.2;                                                   тип вставки:                 Полудрагоценная;                                                   полудрагоценная вставка:                 Топаз;                                                   цвет вставки:                 Голубой;                                                   характеристики вставки:                 топаз натуральный 1 шт. D 5 мм; фианит белый 6 шт. D 1,25 мм;                                                   каратность, ct.:                                                                                                                                                                                                  0,63 ct;                                                   размер изделия:                 высота над пальцем - 3 мм; ширина ободка - 1,5 мм ( по всей окружности );                                                   Покрытие:                 Родированное;                                                   Производитель:                 юз "серебро украины";	https://serebro.ua/products/koltso-iz-serebra-s-naturalnym-topazom-dzhersi-sk2257t.html	https://serebro.ua/images/44/koltso-iz-serebra-s-naturalnym-topazom-dzhersi-26938283526235_small6.jpg	2101544751	in stock	СК2257Т	Кольца
759 UAH	Кольцо Серебряное с Натуральным Агатом "Кира"	Металл:                                                                                                                                                                                                                                                                    серебро 925;                                                   средний вес, г:                                                                                                                                                                                                  2.15;                                                   тип вставки:                 Полудрагоценная;                                                   полудрагоценная вставка:                 Агат;                                                   цвет вставки:                 Зеленый;                                                   характеристики вставки:                 агат натуральный круг 1 шт. D 5 мм; фианит белый 2 шт. D 2 мм; 46 шт. D 1 мм;                                                   размер изделия:                 длина по пальцу - 9 мм; высота над пальцем - 5 мм; ширина ободка от 4,5 мм до 2,5 мм ( сужается к ладони );                                                   Покрытие:                 Родированное;                                                   Производитель:                 юз "серебро украины";	https://serebro.ua/products/koltso-serebryanoe-s-naturalnym-agatom-kira-pdk77ag.html	https://serebro.ua/images/8/productskoltso-serebryanoe-s-naturalnym-agatom-kira-pdk77ag-67815559398796_small6.jpg	3138161437	in stock	ПДК77АГ	Кольца
848 UAH	Кольцо Серебряное с Натуральным Топазом "Вдохновение"	Металл:                                                                                                                                                                                                                                                                    серебро 925;                                                   средний вес, г:                                                                                                                                                                                                  2.51;                                                   тип вставки:                 Полудрагоценная;                                                   полудрагоценная вставка:                 Топаз;                                                   цвет вставки:                 Голубой;                                                   характеристики вставки:                 топаз натуральный круг 1 шт. D 7 мм; фианит белый 2 шт. D 2,5 мм; 8 шт. D 1,25 мм; 52 шт. D 1 мм;                                                   размер изделия:                 длина по пальцу - 10мм, высота над пальцем - 7мм;                                                   Покрытие:                 Родированное;                                                   Производитель:                 юз "серебро украины";	https://serebro.ua/products/koltso-serebryanoe-s-naturalnym-topazom-vdokhnovenie-pdk56t.html	https://serebro.ua/images/32/productskoltso-serebryanoe-s-naturalnym-topazom-vdokhnovenie-pdk56t-87244465803764_small6.jpg	908901705	in stock	ПДК56Т	Кольца
897 UAH	Кольцо Из Серебра с Натуральным Агатом "Шанс"	Металл:                                                                                                                                                                                                                                                                    серебро 925;                                                   средний вес, г:                                                                                                                                                                                                  3.11;                                                   тип вставки:                 Полудрагоценная;                                                   полудрагоценная вставка:                 Агат;                                                   цвет вставки:                 Зеленый;                                                   характеристики вставки:                 агат натуральный овал 1 шт. 8*6 мм; фианит белый 52 шт. D 1,25 мм;                                                   размер изделия:                 длина по пальцу - 13 мм; высота над пальцем - 6 мм; ширина ободка от 4 мм до 3 мм ( сужается к ладони );                                                   Покрытие:                 Родированное;                                                   Производитель:                 юз "серебро украины";	https://serebro.ua/products/koltso-iz-serebra-s-naturalnym-agatom-shans-pdk65ag.html	https://serebro.ua/images/6/productskoltso-iz-serebra-s-naturalnym-agatom-shans-pdk65ag-48553898698651_small6.jpg	4008035223	in stock	ПДК65АГ	Кольца
899 UAH	Кольцо Из Серебра с Натуральным Топазом "Шанс"	Металл:                                                                                                                                                                                                                                                                    серебро 925;                                                   средний вес, г:                                                                                                                                                                                                  3.15;                                                   тип вставки:                 Полудрагоценная;                                                   полудрагоценная вставка:                 Топаз;                                                   цвет вставки:                 Голубой;                                                   характеристики вставки:                 топаз натуральный овал 1 шт. 8*6 мм; фианит белый 52 шт. D 1,25 мм;                                                   размер изделия:                 длина по пальцу - 13 мм; высота над пальцем - 6 мм; ширина ободка от 4 мм до 3 мм ( сужается к ладони );                                                   Покрытие:                 Родированное;                                                   Производитель:                 юз "серебро украины";	https://serebro.ua/products/koltso-iz-serebra-s-naturalnym-topazom-shans-pdk65t.html	https://serebro.ua/images/42/productskoltso-iz-serebra-s-naturalnym-topazom-shans-pdk65t-76375998397293_small6.jpg	1896051943	in stock	ПДК65Т	Кольца
639 UAH	Серебряное Кольцо с Натуральным Агатом "Венера"	Металл:                                                                                                                                                                                                                                                                    серебро 925;                                                   средний вес, г:                                                                                                                                                                                                  1.74;                                                   тип вставки:                 Полудрагоценная;                                                   полудрагоценная вставка:                 Агат;                                                   цвет вставки:                 Зеленый;                                                   характеристики вставки:                 агат натуральный круг d 5 мм; фианит белый 2 шт. D 2,5 мм; 28 шт. D 1 мм;                                                   размер изделия:                 длина по пальцу - 9 мм; ширина ободка - 2 мм ( по всей окружности);                                                   Покрытие:                 Родированное;                                                   Производитель:                 юз "серебро украины";	https://serebro.ua/products/serebryanoe-koltso-s-naturalnym-agatom-venera-pdk68ag.html	https://serebro.ua/images/10/productsserebryanoe-koltso-s-naturalnym-agatom-venera-pdk68ag-91517039340783_small6.jpg	3358099852	in stock	ПДК68АГ	Кольца
779 UAH	Серебряное Кольцо с Натуральным Сапфиром "Венера"	Металл:                                                                                                                                                                                                                                                                    серебро 925;                                                   средний вес, г:                                                                                                                                                                                                  1.65;                                                   тип вставки:                 Драгоценная;                                                   драгоценная вставка:                                                                                                                                                                                                  Сапфир;                                                   цвет вставки:                 Синий;                                                   характеристики вставки:                 сапфир натуральный d 5 мм; фианит белый 2 шт. D 2,5 мм; 28 шт. D 1 мм;                                                   размер изделия:                 длина по пальцу - 9 мм; ширина ободка - 2 мм ( по всей окружности);                                                   Покрытие:                 Родированное;                                                   Производитель:                 юз "серебро украины";	https://serebro.ua/products/serebryanoe-koltso-s-naturalnym-sapfirom-venera-pdk68s.html	https://serebro.ua/images/3/productsserebryanoe-koltso-s-naturalnym-sapfirom-venera-pdk68s-88289372043477_small6.jpg	2646023979	in stock	ПДК68С	Кольца
849 UAH	Кольцо Серебряное с Натуральным Топазом "Рио"	Металл:                                                                                                                                                                                                                                                                    серебро 925;                                                   средний вес, г:                                                                                                                                                                                                  2.82;                                                   тип вставки:                 Полудрагоценная;                                                   полудрагоценная вставка:                 Топаз;                                                   цвет вставки:                 Голубой;                                                   характеристики вставки:                 топаз натуральный овал 1 шт. 8*6 мм; фианит белый круг 2 шт. D 4 мм; 78 шт. D 1 мм;                                                   размер изделия:                 длина по пальцу - 13 мм; ширина по пальцу - 6 мм; ширина ободка от 3 мм до 2 мм ( сужается к ладони );                                                   Покрытие:                 Родированное;                                                   Производитель:                 юз "серебро украины";	https://serebro.ua/products/koltso-serebryanoe-s-naturalnym-topazom-rio-pdk72t.html	https://serebro.ua/images/38/productskoltso-serebryanoe-s-naturalnym-topazom-rio-pdk72t-31890643102002_small6.jpg	1525719052	in stock	ПДК72Т	Кольца
899 UAH	Кольцо Серебряное с Натуральным Сапфиром "Связь"	Металл:                                                                                                                                                                                                                                                                    серебро 925;                                                   средний вес, г:                                                                                                                                                                                                  1.72;                                                   тип вставки:                 Драгоценная;                                                   драгоценная вставка:                                                                                                                                                                                                  Сапфир;                                                   характеристики вставки:                 сапфир натуральный овал 6*4 мм; фианит белый 20 шт. D 1,25 мм;                                                   размер изделия:                 длина по пальцу - 4,5 мм; высота над пальцем - 3 мм; ширина ободка от 4,5 мм до 3 мм ( сужается к ладони;                                                   Покрытие:                 Родированное;                                                   Производитель:                 юз "серебро украины";	https://serebro.ua/products/koltso-serebryanoe-s-naturalnym-sapfirom-svyaz-pdk81s.html	https://serebro.ua/images/12/productskoltso-serebryanoe-s-naturalnym-sapfirom-svyaz-pdk81s-74063739467634_small6.jpg	2726259952	in stock	ПДК81С	Кольца
790 UAH	Кольцо Из Серебра с Натуральным Агатом "Аврора"	Металл:                                                                                                                                                                                                                                                                    серебро 925;                                                   средний вес, г:                                                                                                                                                                                                  2.81;                                                   тип вставки:                 Полудрагоценная;                                                   полудрагоценная вставка:                 Агат;                                                   цвет вставки:                 Зеленый;                                                   характеристики вставки:                 агат натуральный груша 1 шт. 8*6 мм; фианит белый 45 шт. D 1,25 мм;                                                   размер изделия:                 длина по пальцу - 18 мм.; ширина - 15 мм; ширина ободка от 2 мм до 1,5 мм;                                                   Покрытие:                 Родированное;                                                   Производитель:                 юз "серебро украины";	https://serebro.ua/products/koltso-iz-serebra-s-naturalnym-agatom-avrora-pdk82ag.html	https://serebro.ua/images/10/productskoltso-iz-serebra-s-naturalnym-agatom-avrora-pdk82ag-80140820526109_small6.jpg	80230793	in stock	ПДК82АГ	Кольца
