price	title	description	link	image_link	id	availability	mpn	product_type
550.00 UAH	Рюкзак Winner-stile 160 Розовый	Рюкзак, чья форма стала так популярна в нашей стране, за счет своей легкости и удобства, что мы не могли не сделать свой вариант в своем уникальном стиле.  Отделения: в рюкзаке одно большое отделение, в котором расположен отсек для ноутбука диагональю 13,3 – 14 и карман на молнии. Карманы: один передний карман на молнии. В комплекте: • бирка с индивидуальным штрих кодом и описанием. Имеет ряд качественных и удобных деталей.  • качественные молнии фирмы «SBS» + фирменные бегунки и фурнитура. • дополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. • верхняя лямка ручка, для переноски рюкзака.	https://nicktoys.com.ua/product/rjukzak-winner-stile-160-rozovyj/	https://nicktoys.com.ua/wp-content/uploads/2020/02/160-1-800x1095.jpg	1010753176	in stock	PL-00031627	Рюкзаки
621.00 UAH	Рюкзак Winner-stile 317 Черный в Клетку	Рюкзак. Отделения:1) в первом (у спинки) большое отделение с карманом-разделителем. 2) во втором (основном) два кармана. Карманы:Боковые: два нижних кармана передний нижний без наполнения. В комплекте:Бирка с индивидуальным штрих кодом и описанием. Имеет ряд качественных и удобных деталей. Качественные молнии фирмы «SBS» + фирменные бегунки и фурнитурадополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Вентилируемая спинка. Плечевые вентилируемые лямки с укрепляющими ремнями в форме “Маечки” верхняя удобная тканевая ручка, для переноски рюкзака.	https://nicktoys.com.ua/product/rjukzak-winner-stile-317-chernyj-v-kletku/	https://nicktoys.com.ua/wp-content/uploads/2020/02/317-1-800x890.jpg	958427860	in stock	PL-00031628	Рюкзаки
908.00 UAH	Рюкзак Городской Winner-stile 410-2 Черный с Серым Значком	Молодежный рюкзак. Отделения: в рюкзаке три отделения. Передний клапан жесткий. Первое основное большое отделение, с одним тканевым карманом. Второе отделение имеет три кармана и отделение для канцелярских принадлежностей (органайзер). Третье отделение свободное, без разделителей. Карманы: два симметричных боковых кармана на резинке. Сзади скрытный карман на молнии. В комплекте: бирка с индивидуальным штрих кодом и описанием. Имеет ряд качественных и удобных деталей:Качественные молнии фирмы «SBS» + фирменные бегунки и фурнитура.  Дополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Вентилируемая спинка. Плечевые вентилируемые лямки с укрепляющими ремнями в форме “Маечки”. Грудная поддержка лямок (карабин). Слот переходник для наушников. Слот переходник для usb.	https://nicktoys.com.ua/product/rjukzak-gorodskoj-winner-stile-410-2-chernyj-s-serym-znachkom/	https://nicktoys.com.ua/wp-content/uploads/2020/02/410-2-1-800x964.jpg	2709513832	in stock	PL-00031663	Рюкзаки
908.00 UAH	Рюкзак Городской Winner-stile 410-1 Черный с Красным Значком	Молодежный рюкзак. Отделения: в рюкзаке три отделения. Передний клапан жесткий. Первое основное большое отделение, с одним тканевым карманом. Второе отделение имеет три кармана и отделение для канцелярских принадлежностей (органайзер). Третье отделение свободное, без разделителей. Карманы: два симметричных боковых кармана на резинке. Сзади скрытный карман на молнии. В комплекте: бирка с индивидуальным штрих кодом и описанием. Имеет ряд качественных и удобных деталей:Качественные молнии фирмы «SBS» + фирменные бегунки и фурнитура.  Дополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Вентилируемая спинка. Плечевые вентилируемые лямки с укрепляющими ремнями в форме “Маечки”. Грудная поддержка лямок (карабин). Слот переходник для наушников. Слот переходник для usb.	https://nicktoys.com.ua/product/rjukzak-gorodskoj-winner-stile-410-1-chernyj-s-krasnym-znachkom/	https://nicktoys.com.ua/wp-content/uploads/2020/02/410-1-1-800x942.jpg	461528879	in stock	PL-00031662	Рюкзаки
1,005.00 UAH	Рюкзак Городской Winner-stile 407 Серый	Рюкзак. Отделения: 1) в рюкзаке два отделения. 2) отделение с органайзером, для письменных принадлежностей. Карманы: по бокам два кармана на молнии. В комплекте: бирка с индивидуальным штрих кодом и описанием. Имеет ряд качественных и удобных деталей. Качественные молнии фирмы «SBS» + фирменные бегунки и фурнитура дополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Вентилируемая спинка. Плечевые вентилируемые лямки с укрепляющими ремнями в форме “Маечки” верхняя удобная тканевая ручка, для переноски рюкзака. Слот переходник для наушников. Слот переходник для usb.	https://nicktoys.com.ua/product/rjukzak-gorodskoj-winner-stile-407-seryj/	https://nicktoys.com.ua/wp-content/uploads/2020/02/407-1-800x976.jpg	3954051182	in stock	PL-00031647	Рюкзаки
688.00 UAH	Рюкзак Winner-stile 210 Серебристый	Крайне популярный у нас в стране за счет своей формы, легкости и удобства рюкзак. Представляем вам свой уникальный вариант этого хита. Отделения:  в рюкзаке одно большое отделение, в котором расположен отсек для ноутбука диагональю 13,3 – 14 и карман на молнии. Карманы:  один передний карман на молнии. В комплекте:  • бирка с индивидуальным штрих кодом и описанием. Имеет ряд качественных и удобных деталей.  Качественные молнии фирмы «SBS» + фирменные бегунки и фурнитура.  Дополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Верхняя лямка ручка, для переноски рюкзака. Декоративный элемент, брелок-собачка.	https://nicktoys.com.ua/product/rjukzak-winner-stile-210-serebristyj/	https://nicktoys.com.ua/wp-content/uploads/2020/02/210-1.jpg	420226119	in stock	PL-00031653	Рюкзаки
715.00 UAH	Рюкзак Winner-stile 227 Серебристый	Крайне популярный у нас в стране за счет своей формы, легкости и удобства рюкзак. Представляем вам свой уникальный вариант этого хита. Отделения:  в рюкзаке одно большое отделение, в котором расположен отсек для ноутбука диагональю 13,3 – 14 и карман на молнии. Карманы:  один передний карман на молнии. В комплекте:  • бирка с индивидуальным штрих кодом и описанием. Имеет ряд качественных и удобных деталей.  Качественные молнии фирмы «SBS» + фирменные бегунки и фурнитура.  Дополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Верхняя лямка ручка, для переноски рюкзака. Декоративный элемент, брелок-собачка.	https://nicktoys.com.ua/product/rjukzak-winner-stile-227-serebristyj/	https://nicktoys.com.ua/wp-content/uploads/2020/02/227-1-800x938.jpg	1757518436	in stock	PL-00031654	Рюкзаки
715.00 UAH	Рюкзак Winner-stile 223-1 Серый	Крайне популярный у нас в стране за счет своей формы, легкости и удобства рюкзак. Представляем вам свой уникальный вариант этого хита. Отделения:  в рюкзаке одно большое отделение, в котором расположен отсек для ноутбука диагональю 13,3 – 14 и карман на молнии. Карманы:  один передний карман на молнии. В комплекте:  • бирка с индивидуальным штрих кодом и описанием. Имеет ряд качественных и удобных деталей.  Качественные молнии фирмы «SBS» + фирменные бегунки и фурнитура.  Дополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Верхняя лямка ручка, для переноски рюкзака. Декоративный элемент, брелок-собачка.	https://nicktoys.com.ua/product/rjukzak-winner-stile-223-1-seryj/	https://nicktoys.com.ua/wp-content/uploads/2020/02/223-1-1-800x1017.jpg	281319843	in stock	PL-00031660	Рюкзаки
798.00 UAH	Рюкзак Winner-stile 239-1 Голубой	Рюкзак. Отделения: 1) в первом (у спинки) большое отделение с карманом-разделителем. 2) во втором (основном) два кармана. Карманы: Боковые: два нижних кармана передний нижний без наполнения. В комплекте: бирка с индивидуальным штрих кодом и описанием. Имеет ряд качественных и удобных деталей. Качественные молнии фирмы «SBS» + фирменные бегунки и фурнитура дополнительными строчками для укрепления, прошиты все места, на которые приходятся основные нагрузки. Вентилируемая спинка. Плечевые вентилируемые лямки с укрепляющими ремнями в форме “Маечки” верхняя удобная тканевая ручка, для переноски рюкзака.	https://nicktoys.com.ua/product/rjukzak-winner-stile-239-1-goluboj/	https://nicktoys.com.ua/wp-content/uploads/2020/02/239-1-800x918.jpg	3325670316	in stock	PL-00031676	Рюкзаки
864.00 UAH	Рюкзак Городской Winner-stile 400 Чёрный	ФормаРюкзакОтделения:  в рюкзаке два отделения: 1) в первом (у спинки)   основное большое отделение с карманом для планшета. 2) во втором отделении   органайзер для письменных принадлежностей. Карманы:  сверху карман на молнии. По бокам два кармана-сетки. В комплекте:  • бирка с индивидуальным штрих кодом и описанием. Имеет ряд качественных и удобных деталей.  • качественные молнии фирмы "sbs" + фирменные бегунки и фурнитура.  • дополнительными строчками для укрепленияукрепления, прошиты все места, на которые приходятся основные нагрузки. • плечевые вентилируемые лямки с укрепляющими ремнями в форме "маечки". • вентилируемая спинка. • верхняя лямка ручка, для переноски рюкзака. • слот переходник для наушников. • слот переходник для usb.                  Детали          производитель    Winner-stile            артикул    400            Страна-производитель товара    китай            пол    для мужчин            вид    городские            материал верха    полиэстер            тип    рюкзаки            цвет    чёрный            размер    34 x 17 x 42            страна регистрации бренда    украина            гарантия    30 дней            особенности    отделение для ноутбука, ортопедическая спинка, карман для бутылки	https://nicktoys.com.ua/product/rjukzak-gorodskoj-winner-stile-400-chjornyj/	https://nicktoys.com.ua/wp-content/uploads/2020/02/400-1-800x1096.jpg	3869180818	in stock	PL-00031608	Рюкзаки
