price	title	description	link	image_link	id	availability	product_type
999 UAH	Вуличний світильник SX-10W на сонячних батареях з пультом керування	Вуличний світильник на сонячних батареях SX-10W    порівнюючи з традиційним сонячним освітленням, це більш ефективне і більш просте з'єднання, щоб використовувати все в одному світильнику на сонячних батареях. Світильник використовує модульну конструкцію, так як всі компоненти з'єднані штекернимі роз'ємами. Це дозволяє покупцю легко замінювати батарею або контролер.    З дистанційним налаштуванням потужність і тривалість часу освітлення можна легко налаштувати за допомогою декількох різних режимів освітлення, які доступні у вбудованому контролері mppt. Світильник стане відмінним рішенням для сонячного освітлення.    У цьому світильнику використовується датчик руху, щоб заощадити більше енергії. Режим енергозбереження легко регулюється за допомогою пульта дистанційного керування. Радарний датчик більш чутливий, ніж датчик пір, на набагато більш широкому куті і на далекій відстані, і його можна легко запускати з невеликими рухами. Найкраща чутлива відстань від людей / об'єкта до датчика освітленості повинна бути в межах 12 метрів.    Світильник з режимом день / ніч.  На сьогоднішній день світлодіодні прожектори на сонячних батареях стали популярними за рахунок своєї автономності, і автоматичної роботі, такий прожектор включається при настання сутінків і відключається зі сходом сонця. Світлодіодний led світильник 10 вт на сонячній батареї володіє ще такою перевагою, як зручність монтажу, тепер не потрібно підключатися до мережі 220В або залежати від її місця розташування, досить вибрати зручне місце монтажу і закріпити прожектор.    За рахунок вбудованих акумуляторів, освітлювальний прилад може працювати до 15 годин, зарядка акумуляторів відбувається за допомогою сонячних панелей, на протязі сонячного дня прожектор не ввімкнений, а сонячна панель проводить зарядку акумулятора.    В даних лід прожекторах вбудоване сутінковий реле, що дозволяє їм автоматично включаться при настанні темряви, режим роботи день-ніч, так само за допомогою пульта можна включити різні режими, нижче представлена ​​більш детальна інформація, ознайомтесь перед покупкою.	https://ledkontur.com.ua/vulichniy-svitilnik-sx-10w-na-sonyachnikh-batareyakh/?sodship=y	https://ledkontur.com.ua/images/27/vulichniy-svitilnik-sx-10w-na-sonyachnikh-batareyakh-91906764338947_small6.jpg	sx-10wvargo	in stock	Вуличне Освітлення На Сонячних Батареях > Для Будинку Дачі Садової Ділянки
4720 UAH	Вуличний світильник KI-X1500 12W на сонячних батареях	Сонячний світлодіодний комплект світильника 12W  сонячний світлодіодний прожектор - це комплект, в якому є все - літіевоіонная акумуляторна батарея, сонячна панель з датчиком світла, вимикач, пульт управління.  Проста установка займе менше ніж за 15 хвилин; вам просто потрібно встановити сонячну панель на південь і підключити до світильника. Забезпечує високий рівень яскравості протягом тривалого періоду часу, має кілька режимів освітлення які задаються пультом управління.Висока ефективність 120 люменів на ват.  Водонепроникний стандарт ip 65. Алюмінієвий корпус + кришка пк.  Роз'єм безпосередньо підключається до світильника від тонкої сонячної панелі.  Індивідуальний режим роботи для регулювання яскравості і робочого часу дистанційно.  Дистанційне керування може легко змінити потужність і час  вбудований літіевоіонний акумулятор ємністю 12AH 3.7V. З більш ніж 2000 циклами роботи.  12 годин 100% яскравості роботи з автоматичним включенням при настанні сутінків і до світанку.  Кронштейни для установки, все компоненти всередині коробки.	https://ledkontur.com.ua/ulichnyy-svetilnik-ki-x1500-12w-na-solnechnykh-batareyakh/?sodship=y	https://ledkontur.com.ua/images/13/svetilnik-universal-2-12vt-71443960685343_small6.jpg	00048	in stock	Вуличне Освітлення На Сонячних Батареях > Для Будинку Дачі Садової Ділянки
1336 UAH	Вуличний світильник SX-20W на сонячних батареях з пультом керування	Вуличний світильник на сонячних батареях SX-20W    порівнюючи з традиційним сонячним освітленням, це більш ефективне і більш просте з'єднання, щоб використовувати все в одному світильнику на сонячних батареях. Світильник використовує модульну конструкцію, так як всі компоненти з'єднані штекернимі роз'ємами. Це дозволяє покупцю легко замінювати батарею або контролер.    З дистанційним налаштуванням потужність і тривалість часу освітлення можна легко налаштувати за допомогою декількох різних режимів освітлення, які доступні у вбудованому контролері mppt. Світильник стане відмінним рішенням для сонячного освітлення.    У цьому світильнику використовується датчик руху, щоб заощадити більше енергії. Режим енергозбереження легко регулюється за допомогою пульта дистанційного керування. Радарний датчик більш чутливий, ніж датчик пір, на набагато більш широкому куті і на далекій відстані, і його можна легко запускати з невеликими рухами. Найкраща чутлива відстань від людей / об'єкта до датчика освітленості повинна бути в межах 12 метрів.    Світильник з режимом день / ніч.  На сьогоднішній день світлодіодні прожектори на сонячних батареях стали популярними за рахунок своєї автономності, і автоматичної роботі, такий прожектор включається при настання сутінків і відключається зі сходом сонця. Світлодіодний led світильник 20 вт на сонячній батареї володіє ще такою перевагою, як зручність монтажу, тепер не потрібно підключатися до мережі 220В або залежати від її місця розташування, досить вибрати зручне місце монтажу і закріпити прожектор.    За рахунок вбудованих акумуляторів, освітлювальний прилад може працювати до 15 годин, зарядка акумуляторів відбувається за допомогою сонячних панелей, на протязі сонячного дня прожектор не ввімкнений, а сонячна панель проводить зарядку акумулятора.    В даних лід прожекторах вбудоване сутінковий реле, що дозволяє їм автоматично включаться при настанні темряви, режим роботи день-ніч, так само за допомогою пульта можна включити різні режими, нижче представлена ​​більш детальна інформація, ознайомтесь перед покупкою.	https://ledkontur.com.ua/vulichniy-svitilnik-sx-20w-na-sonyachnikh-batareyakh-z-pultom-keruvannya/?sodship=y	https://ledkontur.com.ua/images/28/vulichniy-svitilnik-sx-20w-na-sonyachnikh-batareyakh-z-pultom-keruvannya-19301993648658_small6.jpg	sx-20wvargo	in stock	Вуличне Освітлення На Сонячних Батареях > Для Будинку Дачі Садової Ділянки
1720 UAH	Вуличний світильник SX-30W на сонячних батареях з пультом керування	Вуличний світильник на сонячних батареях SX-30W    порівнюючи з традиційним сонячним освітленням, це більш ефективне і більш просте з'єднання, щоб використовувати все в одному світильнику на сонячних батареях. Світильник використовує модульну конструкцію, так як всі компоненти з'єднані штекернимі роз'ємами. Це дозволяє покупцю легко замінювати батарею або контролер.    З дистанційним налаштуванням потужність і тривалість часу освітлення можна легко налаштувати за допомогою декількох різних режимів освітлення, які доступні у вбудованому контролері mppt. Світильник стане відмінним рішенням для сонячного освітлення.    У цьому світильнику використовується датчик руху, щоб заощадити більше енергії. Режим енергозбереження легко регулюється за допомогою пульта дистанційного керування. Радарний датчик більш чутливий, ніж датчик пір, на набагато більш широкому куті і на далекій відстані, і його можна легко запускати з невеликими рухами. Найкраща чутлива відстань від людей / об'єкта до датчика освітленості повинна бути в межах 12 метрів.    Світильник з режимом день / ніч.  На сьогоднішній день світлодіодні прожектори на сонячних батареях стали популярними за рахунок своєї автономності, і автоматичної роботі, такий прожектор включається при настання сутінків і відключається зі сходом сонця. Світлодіодний led світильник 30 вт на сонячній батареї володіє ще такою перевагою, як зручність монтажу, тепер не потрібно підключатися до мережі 220В або залежати від її місця розташування, досить вибрати зручне місце монтажу і закріпити прожектор.    За рахунок вбудованих акумуляторів, освітлювальний прилад може працювати до 15 годин, зарядка акумуляторів відбувається за допомогою сонячних панелей, на протязі сонячного дня прожектор не ввімкнений, а сонячна панель проводить зарядку акумулятора.    В даних лід прожекторах вбудоване сутінковий реле, що дозволяє їм автоматично включаться при настанні темряви, режим роботи день-ніч, так само за допомогою пульта можна включити різні режими, нижче представлена ​​більш детальна інформація, ознайомтесь перед покупкою.	https://ledkontur.com.ua/vulichniy-svitilnik-sx-30w-na-sonyachnikh-batareyakh-z-pultom-keruvannya/?sodship=y	https://ledkontur.com.ua/images/29/vulichniy-svitilnik-sx-30w-na-sonyachnikh-batareyakh-z-pultom-keruvannya-47268408363752_small6.jpg	sx-30wvargo	in stock	Вуличне Освітлення На Сонячних Батареях > Для Будинку Дачі Садової Ділянки
2440 UAH	Вуличний світильник SX-50W на сонячних батареях з пультом керування	Вуличний світильник на сонячних батареях SX-50W    порівнюючи з традиційним сонячним освітленням, це більш ефективне і більш просте з'єднання, щоб використовувати все в одному світильнику на сонячних батареях. Світильник використовує модульну конструкцію, так як всі компоненти з'єднані штекернимі роз'ємами. Це дозволяє покупцю легко замінювати батарею або контролер.    З дистанційним налаштуванням потужність і тривалість часу освітлення можна легко налаштувати за допомогою декількох різних режимів освітлення, які доступні у вбудованому контролері mppt. Світильник стане відмінним рішенням для сонячного освітлення.    У цьому світильнику використовується датчик руху, щоб заощадити більше енергії. Режим енергозбереження легко регулюється за допомогою пульта дистанційного керування. Радарний датчик більш чутливий, ніж датчик пір, на набагато більш широкому куті і на далекій відстані, і його можна легко запускати з невеликими рухами. Найкраща чутлива відстань від людей / об'єкта до датчика освітленості повинна бути в межах 12 метрів.    Світильник з режимом день / ніч.  На сьогоднішній день світлодіодні прожектори на сонячних батареях стали популярними за рахунок своєї автономності, і автоматичної роботі, такий прожектор включається при настання сутінків і відключається зі сходом сонця. Світлодіодний led світильник 50 вт на сонячній батареї володіє ще такою перевагою, як зручність монтажу, тепер не потрібно підключатися до мережі 220В або залежати від її місця розташування, досить вибрати зручне місце монтажу і закріпити прожектор.    За рахунок вбудованих акумуляторів, освітлювальний прилад може працювати до 15 годин, зарядка акумуляторів відбувається за допомогою сонячних панелей, на протязі сонячного дня прожектор не ввімкнений, а сонячна панель проводить зарядку акумулятора.    В даних лід прожекторах вбудоване сутінковий реле, що дозволяє їм автоматично включаться при настанні темряви, режим роботи день-ніч, так само за допомогою пульта можна включити різні режими, нижче представлена ​​більш детальна інформація, ознайомтесь перед покупкою.	https://ledkontur.com.ua/vulichniy-svitilnik-sx-50w-na-sonyachnikh-batareyakh-z-pultom-keruvannya/?sodship=y	https://ledkontur.com.ua/images/30/vulichniy-svitilnik-sx-50w-na-sonyachnikh-batareyakh-z-pultom-keruvannya-86842119525407_small6.jpg	sx-50wvargo	in stock	Вуличне Освітлення На Сонячних Батареях > Для Будинку Дачі Садової Ділянки
3360 UAH	Вуличний світильник SX-100W на сонячних батареях з пультом керування	Вуличний світильник на сонячних батареях SX-100W    порівнюючи з традиційним сонячним освітленням, це більш ефективне і більш просте з'єднання, щоб використовувати все в одному світильнику на сонячних батареях. Світильник використовує модульну конструкцію, так як всі компоненти з'єднані штекернимі роз'ємами. Це дозволяє покупцю легко замінювати батарею або контролер.    З дистанційним налаштуванням потужність і тривалість часу освітлення можна легко налаштувати за допомогою декількох різних режимів освітлення, які доступні у вбудованому контролері mppt. Світильник стане відмінним рішенням для сонячного освітлення.    У цьому світильнику використовується датчик руху, щоб заощадити більше енергії. Режим енергозбереження легко регулюється за допомогою пульта дистанційного керування. Радарний датчик більш чутливий, ніж датчик пір, на набагато більш широкому куті і на далекій відстані, і його можна легко запускати з невеликими рухами. Найкраща чутлива відстань від людей / об'єкта до датчика освітленості повинна бути в межах 12 метрів.    Світильник з режимом день / ніч.  На сьогоднішній день світлодіодні прожектори на сонячних батареях стали популярними за рахунок своєї автономності, і автоматичної роботі, такий прожектор включається при настання сутінків і відключається зі сходом сонця. Світлодіодний led світильник 100 вт на сонячній батареї володіє ще такою перевагою, як зручність монтажу, тепер не потрібно підключатися до мережі 220В або залежати від її місця розташування, досить вибрати зручне місце монтажу і закріпити прожектор.    За рахунок вбудованих акумуляторів, освітлювальний прилад може працювати до 15 годин, зарядка акумуляторів відбувається за допомогою сонячних панелей, на протязі сонячного дня прожектор не ввімкнений, а сонячна панель проводить зарядку акумулятора.    В даних лід прожекторах вбудоване сутінковий реле, що дозволяє їм автоматично включаться при настанні темряви, режим роботи день-ніч, так само за допомогою пульта можна включити різні режими, нижче представлена ​​більш детальна інформація, ознайомтесь перед покупкою.	https://ledkontur.com.ua/vulichniy-svitilnik-sx-100w-na-sonyachnikh-batareyakh-z-pultom-keruvannya/?sodship=y	https://ledkontur.com.ua/images/31/ulichnyy-svetilnik-sx-100w-na-solnechnykh-batareyakh-17291732662850_small6.jpg	sx-100wvargo	in stock	Вуличне Освітлення На Сонячних Батареях > Для Будинку Дачі Садової Ділянки
2360 UAH	Вуличний світильник E360-12W на сонячних батареях	Сонячний світлодіодний комплект світильника 12W  - це комплект, в якому є все - літій іонна акумуляторна батарея, сонячна панель з датчиком світла, вимикач, пульт управління і роз'єм usb для зарядки гаджетів.  Проста установка займе менше ніж за 15 хвилин; вам просто потрібно встановити сонячну панель на південь і підключити до світильника. Забезпечує високий рівень яскравості протягом тривалого періоду часу, має кілька режимів освітлення які задаються пультом управління або включаються чи виключаються вимикачем.    Висока ефективність 120 люменів на ват.  Водонепроникний стандарт ip 65. Алюмінієвий корпус + кришка пк.  Роз'єм безпосередньо підключається до світильника від тонкої сонячної панелі.  Вихід usb для мобільного заряду  індивідуальний режим роботи для регулювання яскравості і робочого часу дистанційно.  Вихід 5V usb 1.5A для підзарядки мобільного або іншого пристрою для аварійної ситуації.  Дистанційне керування може легко змінити потужність і час  вбудований літіевоіонний акумулятор ємністю 12AH 3.7V. З більш ніж 2000 циклами роботи.  12 годин 100% яскравості роботи з автоматичним включенням при настанні сутінків і до світанку.  Кронштейни для установки, все компоненти всередині коробки.         Характеристики  матеріал полікарбонат / алюміній  потужність 12w  сонячна панель 6V / 10W  потік світла 1500 люменів  час роботи 48 годин  час повного заряду 10 годин  кут освітлення 120 градусів  робоча температура від -20 до + 50 ° с  режим роботи задаються пультом управління  датчик світла так  датчик руху так  розмір 68х80х360 мм  акумулятор 3.7V 12AH  кількість діодів SMD2835 60шт  клас захисту IP65  кольорова температура 4000K / 6000K  комплектація - світильник, пульт управління, універсальне кріплення, інструкція, зарядний кабель 5м, настінний кабель 4м з вимикачем.    Гарантія 2 роки.  Українські сертифікати якості.	https://ledkontur.com.ua/vulichniy-svitilnik-e360-12w-na-sonyachnikh-batareyakh/?sodship=y	https://ledkontur.com.ua/images/38/ulichnyy-svetilnik-e360-12w-na-solnechnykh-batareyakh-32041342758320_small6.jpg	0070	in stock	Вуличне Освітлення На Сонячних Батареях > Для Будинку Дачі Садової Ділянки
3600 UAH	Вуличний світильник E600-24W на сонячних батареях	Сонячний світлодіодний комплект світильника 12W  - це комплект, в якому є все - літій іонна акумуляторна батарея, сонячна панель з датчиком світла, вимикач, пульт управління і роз'єм usb для зарядки гаджетів.  Проста установка займе менше ніж за 15 хвилин; вам просто потрібно встановити сонячну панель на південь і підключити до світильника. Забезпечує високий рівень яскравості протягом тривалого періоду часу, має кілька режимів освітлення які задаються пультом управління, чи вмикається або вимикається вимикачем    висока ефективність 120 люменів на ват.  Водонепроникний стандарт ip 65. Алюмінієвий корпус + кришка пк.  Роз'єм безпосередньо підключається до світильника від тонкої сонячної панелі.  Вихід usb для мобільного заряду  індивідуальний режим роботи для регулювання яскравості і робочого часу дистанційно.  Вихід 5V usb 1.5A для підзарядки мобільного або іншого пристрою для аварійної ситуації.  Дистанційне керування може легко змінити потужність і час  вбудований літіевоіонний акумулятор ємністю 3.7V /24AH з більш ніж 2000 циклами роботи.  12 годин 100% яскравості роботи з автоматичним включенням при настанні сутінків і до світанку.  Кронштейни для установки, все компоненти всередині коробки.         Характеристики  матеріал полікарбонат / алюміній  потужність 24w  сонячна панель 6V / 18W  потік світла 2400 люмен  час роботи 48 годин  час повного заряду 10 годин  кут освітлення 120 градусів  робоча температура від -20 до + 50 ° с  режим роботи задаються пультом управління  датчик світла так  датчик руху так  розмір 68х80х600 мм  акумулятор 3.7V / 24AH  кількість діодів SMD2835 120шт  клас захисту IP65  кольорова температура 4000K / 6000K  комплектація світильник, пульт управління, універсальне кріплення, інструкція, зарядний кабель 5м, настінний кабель 4м з вимикачем.	https://ledkontur.com.ua/vulichniy-svitilnik-e600-24w-na-sonyachnikh-batareyakh/?sodship=y	https://ledkontur.com.ua/images/39/ulichnyy-svetilnik-e600-24w-na-solnechnykh-batareyakh-90539901615101_small6.jpg	0071	in stock	Вуличне Освітлення На Сонячних Батареях > Для Будинку Дачі Садової Ділянки
1040 UAH	Садовий світильник J600-1W (100Lum) на сонячних батареях з універсальним кріпленням	Садовий світильник на сонячних батареях J600-1w    освітлення садової чи прибудинкової ділянки - важливий елемент не тільки краси, але й безпеки. Щоб переконатися в цьому, достатньо всього лише однієї прогулянки по задньому дворику або саду з ручним ліхтарем.    Світильники на сонячних батареях стали невід'ємною частиною сучасних дачних або приватних будинків.    Застосувавши таке освітлення, вам не потрібно буде вдаватися до використання проводки і електрики, адже вбудовані акумулятори забезпечують безперебійну роботу вуличних світильників на протязі всієї ночі.    Протягом дня батарея поглинає енергію сонця. Потім вона накопичується в акумуляторі і перетворюється в електричну. Джерелом освітлення служить LED-лампа, яка споживає мінімум енергії в порівнянні з відомими аналогами. Світильник на сонячних батареях оснащений сенсором освітленості, він автоматично вмикається з настанням темноти, а потім працює до ранку в економному режимі.    Переваги використання сонячних led світильників:    - не вимагають прокладки кабелю, дозвільної документації, не споживає енергію від мережі,  - включення, виключення і перезарядка відбуваються автоматично  - економить витрати на освітлення вулиці.  - універсальне кріплення дозволяє використовувати ліхтарик в будь-якому зручному для вас місці.    - легкий монтаж, всього 10 хвилин.    - висока енергоефективність і швидка окупність.    - підвищена потужність акумуляторів.    - красиве освітлення фасаду або декоративне освітлення ландшафту.    Простий монтаж:    вуличні ліхтарі можуть бути змонтовані на різні поверхні: фасад, колона, подіум, газон, альпійська гірка і інші місця біля будинку без спеціального інструменту або обладнання. Головними вимогами до установки є стійка основа, відсутність дерев або предметів, що перешкоджають попаданню сонячного світла.    Способи монтажу:    - монтаж на стіні як бра.    - монтаж в землю.    - монтаж на підставку.    Характеристики:    - led світильник 1W / 135Lumens / 36 epistar led chip.  - сонячна панель 1W 5V  - акуммулятор (lithium battery),  - датчик автоматичного включення / вимикання світла.  - універсальні кріплення  - час повної зарядки при сонячному світлі 6-8 годин,  - час роботи 8-10 годин  -Гарантія 2 роки!	https://ledkontur.com.ua/sadoviy-svitilnik-na-sonyachnikh-batareyakh-j600-1w-100lum-z-universalnim-kriplennyam/?sodship=y	https://ledkontur.com.ua/images/25/95684317750016_small6.jpg	j600-1w	in stock	Вуличне Освітлення На Сонячних Батареях > Для Будинку Дачі Садової Ділянки
1200 UAH	Вуличний світильник  J602 - 2W (200Lum) на сонячних батареях з датчиком руху	Світильник на сонячній батареї J602-2w    протягом дня батарея поглинає енергію сонця. Потім вона накопичується в акумуляторі і перетворюється в електричну. Джерелом освітлення служить LED-лампа, яка споживає мінімум енергії в порівнянні з відомими аналогами. Світильник на сонячних батареях оснащений сенсором освітленості і інфрачервоним датчиком руху. Він автоматично включається з настанням темряви, а потім працює до ранку в економному режимі. Якщо датчик фіксує рух, то сонячний ліхтар включається на повну потужність.    Простий монтаж    вуличні ліхтарі можуть бути змонтовані на різні поверхні: бетон; залізо; деревину; цегляну кладку; стовпи та інші жорсткі конструкції без спеціального інструменту або обладнання. Головними вимогами до установки є стійка основа, відсутність дерев або предметів, що перешкоджають попаданню сонячного світла.    Переваги    автоматичне включення і виключення за допомогою датчика світла.    Легкий монтаж, всього 10 хвилин.    Вмонтований датчик руху.    Висока енергоефективність і швидка окупність.    Підвищена потужність акумуляторів.    - led світильник 2W / 200Lumens / 36 epistar led chip.  - сонячна панель 2W 9V  - датчик руху pir, кут виявлення 140 °, 5-7 м,  - режим економії енергії (вимикається датчиком руху)  - акуммулятор (6.4V 1.5 ah Lithium-ion),  - датчик автоматичного включення / вимикання світла.	https://ledkontur.com.ua/vulichniy-svitilnik-j602-2w-200lum-na-sonyachnikh-batareyakh-z-datchikom-rukhu/?sodship=y	https://ledkontur.com.ua/images/16/solnechnyy-sadovyy-svetilnik-na-solnechnykh-batareyakh-solar-technonology-j602-2w-12002573416445_small6.jpg	j602-2w	in stock	Вуличне Освітлення На Сонячних Батареях > Для Будинку Дачі Садової Ділянки
