price	title	description	link	image_link	id	availability	product_type
1516 UAH	Кроссовки Для Девочек Saba Big Rose Star	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_big_rose_star.html	https://evie.ua/upload/resize_cache/iblock/e4d/500_500_1/e4d306d8332f43c1c81626f9c96c210e.jpg	14030	in stock	Обувь Девочкам > Лето > Кеды
1895 UAH	Кроссовки Для Девочек Saba Big Mirror	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_big_mirror.html	https://evie.ua/upload/resize_cache/iblock/4f4/500_500_1/4f4ada2d3e17b1c9656c48f8f922a90e.jpg	14034	in stock	Обувь Девочкам > Лето > Кеды
1895 UAH	Кроссовки Для Девочек Saba Big White Silver	Подкладка: натуральная кожа. Материал верха: натуральная кожа.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_big_white_silver.html	https://evie.ua/upload/resize_cache/iblock/5e9/500_500_1/5e9f9fc5e3030768932ccd664312cd9b.jpg	14040	in stock	Обувь Девочкам > Лето > Кеды
1196 UAH	Кроссовки Для Девочек Jess Pink	Подкладка: натуральная кожа. Материал верха: кожа на основе микрофибры, с дополнительной защитой от царапин.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/jess_pink.html	https://evie.ua/upload/resize_cache/iblock/435/500_500_1/43590724430258a033442ebff2b35c03.jpg	14136	in stock	Обувь Девочкам > Деми > Кроссовки
1196 UAH	Кроссовки Для Девочек Jess Orange	Подкладка: натуральная кожа. Материал верха: кожа на основе микрофибры, с дополнительной защитой от царапин.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/jess_orange.html	https://evie.ua/upload/resize_cache/iblock/9d6/500_500_1/9d67e39e0529b04bd5c161c50057e1b9.jpg	14144	in stock	Обувь Девочкам > Деми > Кроссовки
1196 UAH	Кроссовки Для Девочек Jess Green	Подкладка: натуральная кожа. Материал верха: кожа на основе микрофибры, с дополнительной защитой от царапин.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/jess_green.html	https://evie.ua/upload/resize_cache/iblock/b20/500_500_1/b20e7d2dde25ba8160d6bd032cb091e5.jpg	14154	in stock	Обувь Девочкам > Деми > Кроссовки
1196 UAH	Кроссовки Для Девочек Saba Yellow Star	Подкладка: натуральная кожа. Материал верха: кожа на основе микрофибры, с дополнительной защитой от царапин.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_yellow_star.html	https://evie.ua/upload/resize_cache/iblock/d1a/500_500_1/d1a666862c31a4ba66bed15bbd430bad.jpg	14070	in stock	Обувь Девочкам > Деми > Кроссовки
1495 UAH	Кроссовки Для Девочек Saba Grey Star	Подкладка: натуральная кожа. Материал верха: кожа на основе микрофибры, с дополнительной защитой от царапин.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_grey_star.html	https://evie.ua/upload/resize_cache/iblock/530/500_500_1/530f0d1bcf03343785539a592b4f23f4.jpg	14080	in stock	Обувь Девочкам > Деми > Кроссовки
1495 UAH	Кроссовки Для Девочек Saba Sparkles	Подкладка: натуральная кожа. Материал верха: лак на основе микрофибры, с дополнительной защитой от царапин.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_sparkles_.html	https://evie.ua/upload/resize_cache/iblock/52e/500_500_1/52e7a7b1ca19ccc8b4ff9eff266566a4.jpg	14090	in stock	Обувь Девочкам > Деми > Кроссовки
1495 UAH	Кроссовки Для Девочек Saba Graphite	Подкладка: натуральная кожа. Материал верха: кожа на основе микрофибры, с дополнительной защитой от царапин.	https://evie.ua/catalog/obuv_devochkam_2/demisezonnaya_obuv_devochkam_/krossovki/saba_graphite_.html	https://evie.ua/upload/resize_cache/iblock/2f0/500_500_1/2f0a8ead2c638610dc91376ed85ec9f9.jpg	14100	in stock	Обувь Девочкам > Деми > Кроссовки
